open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
1417.9,1418.69,1419.92,1416.47,4678880.0,467900288.0,2019,1,7,15,0,2019-01-07 15:00,26,4
1411.9,1404.14,1414.27,1403.63,4791507.0,479163168.0,2019,1,8,10,30,2019-01-08 10:30,2,25
1405.65,1410.0,1410.01,1399.6,3748748.0,374889440.0,2019,1,8,11,30,2019-01-08 11:30,3,26
1410.02,1409.82,1411.76,1407.28,2941145.0,294127744.0,2019,1,8,14,0,2019-01-08 14:00,6,23
1409.72,1409.1,1412.05,1404.27,4045048.0,404517888.0,2019,1,8,15,0,2019-01-08 15:00,8,21
1409.15,1425.62,1425.87,1408.78,6852235.0,685236928.0,2019,1,9,10,30,2019-01-09 10:30,21,8
1425.65,1432.97,1436.17,1423.71,4181253.0,418138688.0,2019,1,9,11,30,2019-01-09 11:30,25,4
1432.97,1435.57,1438.79,1431.41,4188907.0,418904192.0,2019,1,9,14,0,2019-01-09 14:00,27,3
1435.73,1425.02,1437.12,1425.02,6821000.0,682112896.0,2019,1,9,15,0,2019-01-09 15:00,26,5
1421.38,1421.3,1425.87,1416.14,6533834.0,653395392.0,2019,1,10,10,30,2019-01-10 10:30,13,15
1421.45,1428.6,1429.95,1416.09,4577964.0,457808832.0,2019,1,10,11,30,2019-01-10 11:30,14,17
1428.6,1424.93,1430.11,1420.38,2756309.0,275644160.0,2019,1,10,14,0,2019-01-10 14:00,17,13
1424.97,1415.88,1425.77,1410.81,4629744.0,462987648.0,2019,1,10,15,0,2019-01-10 15:00,16,15
1423.02,1417.95,1424.73,1416.07,6923291.0,692341376.0,2019,1,11,10,30,2019-01-11 10:30,21,9
1417.76,1417.44,1420.28,1413.88,2708167.0,270830720.0,2019,1,11,11,30,2019-01-11 11:30,19,12
1417.44,1418.18,1422.53,1416.92,2469233.0,246936320.0,2019,1,11,14,0,2019-01-11 14:00,17,14
1417.64,1423.83,1423.83,1417.64,3905597.0,390571904.0,2019,1,11,15,0,2019-01-11 15:00,20,10
1424.46,1423.99,1426.06,1414.51,6602483.0,660261312.0,2019,1,14,10,30,2019-01-14 10:30,10,17
1423.62,1421.9,1427.25,1418.96,4928685.0,492881856.0,2019,1,14,11,30,2019-01-14 11:30,13,15
1421.89,1420.19,1423.38,1417.56,2130683.0,213082496.0,2019,1,14,14,0,2019-01-14 14:00,8,22
1419.93,1417.49,1422.65,1414.25,3940669.0,394079104.0,2019,1,14,15,0,2019-01-14 15:00,8,21
1413.11,1414.19,1418.82,1409.45,6362101.0,636222976.0,2019,1,15,10,30,2019-01-15 10:30,10,20
1413.78,1422.95,1424.01,1412.64,3184223.0,318435456.0,2019,1,15,11,30,2019-01-15 11:30,15,14
1423.84,1424.95,1425.87,1421.14,2496342.0,249646848.0,2019,1,15,14,0,2019-01-15 14:00,23,8
1424.75,1429.61,1430.09,1422.76,4376379.0,437650304.0,2019,1,15,15,0,2019-01-15 15:00,23,8
1426.4,1425.73,1430.31,1422.69,5047946.0,504807264.0,2019,1,16,10,30,2019-01-16 10:30,9,21
1425.49,1427.05,1429.43,1423.04,3113493.0,311362272.0,2019,1,16,11,30,2019-01-16 11:30,9,18
1427.05,1424.35,1429.0,1421.04,2459507.0,245963648.0,2019,1,16,14,0,2019-01-16 14:00,15,16
1425.24,1421.88,1426.84,1421.2,3536033.0,353616960.0,2019,1,16,15,0,2019-01-16 15:00,10,19
1419.67,1415.28,1420.7,1411.64,5182598.0,518272352.0,2019,1,17,10,30,2019-01-17 10:30,8,22
1415.1,1421.38,1421.95,1410.52,3439238.0,343936928.0,2019,1,17,11,30,2019-01-17 11:30,11,20
1421.38,1423.95,1426.45,1420.74,2532869.0,253300096.0,2019,1,17,14,0,2019-01-17 14:00,12,18
1423.7,1410.76,1424.9,1410.16,4622652.0,462276864.0,2019,1,17,15,0,2019-01-17 15:00,9,21
1411.69,1409.3,1425.44,1409.3,5927213.0,592733760.0,2019,1,18,10,30,2019-01-18 10:30,17,11
1409.3,1409.33,1410.23,1403.97,3216435.0,321656832.0,2019,1,18,11,30,2019-01-18 11:30,9,20
1409.24,1417.9,1418.42,1408.95,2448520.0,244864192.0,2019,1,18,14,0,2019-01-18 14:00,11,18
1418.33,1419.1,1420.59,1415.63,3992535.0,399267200.0,2019,1,18,15,0,2019-01-18 15:00,17,12
1416.1,1430.4,1431.78,1416.1,4689578.0,468970272.0,2019,1,21,10,30,2019-01-21 10:30,9,17
1430.29,1436.3,1438.51,1430.09,2338825.0,233896864.0,2019,1,21,11,30,2019-01-21 11:30,17,11
1436.35,1431.69,1440.57,1431.05,1775869.0,177600384.0,2019,1,21,14,0,2019-01-21 14:00,19,11
1431.55,1432.65,1434.02,1429.6,2586343.0,258647104.0,2019,1,21,15,0,2019-01-21 15:00,15,14
1441.49,1430.63,1441.65,1429.86,3157608.0,315773600.0,2019,1,22,10,30,2019-01-22 10:30,11,18
1430.66,1428.4,1432.42,1426.48,2158410.0,215854624.0,2019,1,22,11,30,2019-01-22 11:30,13,15
1428.37,1424.44,1428.37,1423.04,2064311.0,206444416.0,2019,1,22,14,0,2019-01-22 14:00,7,20
1424.36,1422.01,1425.29,1415.91,3359464.0,335959360.0,2019,1,22,15,0,2019-01-22 15:00,5,25
1422.9,1427.84,1428.61,1418.31,3933856.0,393398528.0,2019,1,23,10,30,2019-01-23 10:30,15,12
1428.06,1426.24,1429.07,1423.78,1506375.0,150651136.0,2019,1,23,11,30,2019-01-23 11:30,16,10
1426.37,1419.75,1426.51,1416.04,1563238.0,156337600.0,2019,1,23,14,0,2019-01-23 14:00,15,15
1419.25,1429.75,1435.99,1419.08,3688099.0,368822528.0,2019,1,23,15,0,2019-01-23 15:00,14,14
1429.88,1425.37,1437.94,1422.78,4330885.0,433101184.0,2019,1,24,10,30,2019-01-24 10:30,9,19
1426.09,1431.54,1433.53,1423.53,2759430.0,275955648.0,2019,1,24,11,30,2019-01-24 11:30,10,21
1431.54,1432.57,1433.03,1427.89,1794239.0,179435968.0,2019,1,24,14,0,2019-01-24 14:00,17,12
1432.96,1427.7,1433.08,1425.61,3330076.0,333020544.0,2019,1,24,15,0,2019-01-24 15:00,16,14
1428.57,1441.35,1441.35,1426.69,3942424.0,394254656.0,2019,1,25,10,30,2019-01-25 10:30,13,15
1441.31,1446.16,1446.37,1439.17,2302529.0,230265920.0,2019,1,25,11,30,2019-01-25 11:30,14,15
1446.16,1447.49,1447.77,1442.78,1960363.0,196049856.0,2019,1,25,14,0,2019-01-25 14:00,17,13
1447.45,1435.28,1451.38,1435.28,4253021.0,425315648.0,2019,1,25,15,0,2019-01-25 15:00,17,13
1445.36,1446.43,1451.26,1437.76,5217282.0,521740640.0,2019,1,28,10,30,2019-01-28 10:30,23,8
1444.85,1441.63,1446.13,1439.46,1855813.0,185593760.0,2019,1,28,11,30,2019-01-28 11:30,20,9
1441.79,1430.18,1443.5,1427.6,2231630.0,223175936.0,2019,1,28,14,0,2019-01-28 14:00,17,14
1431.25,1427.74,1433.31,1425.97,3248643.0,324876416.0,2019,1,28,15,0,2019-01-28 15:00,10,19
1422.89,1388.89,1428.04,1386.31,6254148.0,625426496.0,2019,1,29,10,30,2019-01-29 10:30,8,22
1389.14,1407.29,1409.14,1385.7,1808660.0,180879936.0,2019,1,29,11,30,2019-01-29 11:30,2,28
1407.54,1407.09,1411.09,1403.76,1367590.0,136772096.0,2019,1,29,14,0,2019-01-29 14:00,6,25
1407.23,1401.95,1411.12,1399.13,2576481.0,257661824.0,2019,1,29,15,0,2019-01-29 15:00,5,26
1400.9,1392.81,1406.76,1391.06,2613996.0,261411136.0,2019,1,30,10,30,2019-01-30 10:30,8,21
1392.72,1398.98,1399.0,1391.67,1136078.0,113620768.0,2019,1,30,11,30,2019-01-30 11:30,12,15
1398.97,1383.77,1399.57,1382.85,1652237.0,165236576.0,2019,1,30,14,0,2019-01-30 14:00,12,14
1383.88,1378.81,1385.79,1378.81,3247270.0,324739520.0,2019,1,30,15,0,2019-01-30 15:00,8,21
1374.87,1381.68,1381.68,1372.03,2798571.0,279869856.0,2019,1,31,10,30,2019-01-31 10:30,14,15
1381.46,1375.17,1386.47,1374.45,1512337.0,151246528.0,2019,1,31,11,30,2019-01-31 11:30,15,16
1375.31,1363.63,1377.81,1363.53,1983693.0,198382496.0,2019,1,31,14,0,2019-01-31 14:00,10,20
1364.34,1359.18,1364.34,1352.55,3322182.0,332230528.0,2019,1,31,15,0,2019-01-31 15:00,4,27
1364.37,1374.36,1376.68,1360.11,2551512.0,255163936.0,2019,2,1,10,30,2019-02-01 10:30,28,3
1374.49,1379.95,1382.31,1371.63,1032006.0,103214464.0,2019,2,1,11,30,2019-02-01 11:30,27,4
1379.63,1383.49,1383.8,1377.95,1191077.0,119121728.0,2019,2,1,14,0,2019-02-01 14:00,30,1
1382.4,1392.92,1392.92,1382.06,2352832.0,235296800.0,2019,2,1,15,0,2019-02-01 15:00,31,0
1396.18,1401.66,1404.39,1393.18,2938399.0,293852352.0,2019,2,11,10,30,2019-02-11 10:30,21,7
1401.78,1412.07,1413.44,1399.52,1923105.0,192324352.0,2019,2,11,11,30,2019-02-11 11:30,28,3
1412.07,1410.54,1412.26,1405.87,1337183.0,133732032.0,2019,2,11,14,0,2019-02-11 14:00,29,2
1410.96,1421.47,1421.82,1408.84,2156297.0,215642944.0,2019,2,11,15,0,2019-02-11 15:00,29,2
1417.8,1425.97,1428.6,1413.61,3255248.0,325537248.0,2019,2,12,10,30,2019-02-12 10:30,13,13
1425.75,1432.89,1432.89,1424.82,2119500.0,211963168.0,2019,2,12,11,30,2019-02-12 11:30,24,7
1432.89,1432.21,1438.61,1430.79,3159480.0,315961280.0,2019,2,12,14,0,2019-02-12 14:00,28,3
1432.41,1435.46,1435.46,1428.56,2883608.0,288373952.0,2019,2,12,15,0,2019-02-12 15:00,27,4
1432.43,1432.76,1438.45,1426.22,4464071.0,446418912.0,2019,2,13,10,30,2019-02-13 10:30,8,18
1432.77,1435.05,1437.04,1428.89,2906762.0,290689376.0,2019,2,13,11,30,2019-02-13 11:30,17,10
1435.05,1445.57,1445.7,1434.62,3094561.0,309468864.0,2019,2,13,14,0,2019-02-13 14:00,22,8
1445.56,1446.53,1449.15,1442.06,3911789.0,391191168.0,2019,2,13,15,0,2019-02-13 15:00,28,2
1446.07,1455.87,1457.06,1439.04,6700531.0,670065856.0,2019,2,14,10,30,2019-02-14 10:30,10,21
1456.14,1451.4,1456.5,1449.42,2447663.0,244779520.0,2019,2,14,11,30,2019-02-14 11:30,23,8
1451.54,1460.63,1460.63,1450.54,2142133.0,214225984.0,2019,2,14,14,0,2019-02-14 14:00,13,15
1460.26,1457.23,1462.71,1455.14,3555267.0,355538432.0,2019,2,14,15,0,2019-02-14 15:00,20,9
1452.18,1443.65,1456.97,1443.11,5123088.0,512321376.0,2019,2,15,10,30,2019-02-15 10:30,6,22
1443.41,1450.06,1450.24,1443.23,2101812.0,210194272.0,2019,2,15,11,30,2019-02-15 11:30,10,18
1449.94,1448.52,1449.94,1443.83,2194856.0,219498368.0,2019,2,15,14,0,2019-02-15 14:00,13,16
1448.52,1439.86,1448.52,1438.05,3801704.0,380182336.0,2019,2,15,15,0,2019-02-15 15:00,15,14
1447.56,1460.4,1461.15,1447.52,5067594.0,506772096.0,2019,2,18,10,30,2019-02-18 10:30,27,3
1460.18,1465.03,1465.23,1457.33,3033851.0,303398080.0,2019,2,18,11,30,2019-02-18 11:30,28,3
1465.07,1470.64,1473.27,1465.07,4044929.0,404506432.0,2019,2,18,14,0,2019-02-18 14:00,30,1
1470.78,1483.05,1483.05,1470.28,5528558.0,552869120.0,2019,2,18,15,0,2019-02-18 15:00,30,1
1491.72,1490.97,1495.91,1483.31,10214906.0,1021503104.0,2019,2,19,10,30,2019-02-19 10:30,13,14
1491.6,1493.14,1502.82,1491.48,7438655.0,743878656.0,2019,2,19,11,30,2019-02-19 11:30,20,10
1493.22,1479.92,1493.98,1475.54,4817502.0,481762944.0,2019,2,19,14,0,2019-02-19 14:00,16,13
1479.83,1491.06,1491.63,1477.25,5434452.0,543457536.0,2019,2,19,15,0,2019-02-19 15:00,11,19
1486.9,1487.3,1487.64,1475.3,8261167.0,826128576.0,2019,2,20,10,30,2019-02-20 10:30,5,25
1487.44,1480.08,1489.47,1479.84,3859049.0,385917632.0,2019,2,20,11,30,2019-02-20 11:30,15,16
1480.02,1488.03,1488.45,1475.04,5045066.0,504519936.0,2019,2,20,14,0,2019-02-20 14:00,9,22
1487.99,1491.36,1492.94,1486.96,5405628.0,540574848.0,2019,2,20,15,0,2019-02-20 15:00,13,17
1492.37,1495.44,1495.86,1484.5,8567690.0,856781120.0,2019,2,21,10,30,2019-02-21 10:30,14,14
1495.37,1508.88,1508.88,1494.08,6060233.0,606036288.0,2019,2,21,11,30,2019-02-21 11:30,16,14
1508.98,1503.73,1520.81,1502.65,7483440.0,748356992.0,2019,2,21,14,0,2019-02-21 14:00,26,4
1503.73,1493.27,1506.99,1488.57,6836223.0,683634432.0,2019,2,21,15,0,2019-02-21 15:00,17,11
1489.68,1503.85,1508.26,1489.26,10219615.0,1021974080.0,2019,2,22,10,30,2019-02-22 10:30,17,14
1503.88,1510.66,1512.43,1501.64,3796389.0,379651136.0,2019,2,22,11,30,2019-02-22 11:30,20,11
1510.66,1515.3,1518.17,1510.66,5251508.0,525162624.0,2019,2,22,14,0,2019-02-22 14:00,24,6
1515.85,1528.87,1528.87,1514.79,6694296.0,669442560.0,2019,2,22,15,0,2019-02-22 15:00,25,4
